sku,on_hand,reserved,supplier,line_status
SKU-60169,23,5,nordfab,ok
SKU-60170,30,10,acme_parts,ok
SKU-60171,37,15,nordfab,ok
SKU-60172,44,20,veltek,ok
SKU-60173,51,25,acme_parts,ok
SKU-60174,58,30,nordfab,ok
SKU-60175,65,35,acme_parts,ok
SKU-60176,72,40,nordfab,ok
SKU-60177,79,45,veltek,ok
SKU-60178,86,50,acme_parts,ok
SKU-60179,93,55,nordfab,ok
SKU-60180,10,0,acme_parts,ok
SKU-60181,17,5,nordfab,ok
SKU-60182,24,10,veltek,ok
SKU-60183,31,15,acme_parts,ok
SKU-60184,38,20,nordfab,ok
SKU-60185,45,25,acme_parts,ok
SKU-60186,52,30,nordfab,ok
SKU-60187,59,35,veltek,ok
SKU-60188,66,40,acme_parts,ok
SKU-60189,73,45,nordfab,ok
SKU-60190,80,50,acme_parts,ok
SKU-60191,87,55,nordfab,ok
SKU-60192,94,0,veltek,ok
SKU-60193,11,5,acme_parts,ok
SKU-60194,18,10,nordfab,ok
SKU-60195,25,15,acme_parts,ok
SKU-60196,32,20,nordfab,ok
SKU-60197,39,25,veltek,ok
SKU-60198,46,30,acme_parts,ok
SKU-60199,53,35,nordfab,ok
SKU-60200,60,40,acme_parts,ok
SKU-60201,67,45,nordfab,ok
SKU-60202,74,50,veltek,ok
SKU-60203,81,55,acme_parts,ok
SKU-60204,88,0,nordfab,ok
SKU-60205,95,5,acme_parts,ok
SKU-60206,12,10,nordfab,ok
SKU-60207,19,15,veltek,ok
SKU-60208,26,20,acme_parts,ok
SKU-60209,33,25,nordfab,ok
SKU-60210,40,30,acme_parts,ok
SKU-60211,47,35,nordfab,ok
